Occurrence ID,Scientific name,Common name,Date,Date day,Date month,Date year,OSGR,Latitude,Longitude,Coordinate uncertainty (m),Individual count,Life stage,Country,OSG 10m,OSG 100m,OSG 1km,OSG 10km,OSG 100km
13277,Orcinus orca,Killer Whale,2019-12-20,20,12,2019,NM3685461143,56.66778183,-6.296666622,1000.0,1.0,Adult,Scotland,NM36856114,NM368611,NM3661,NM36,NM
13273,Halichoerus grypus,Grey Seal,2019-11-26,26,11,2019,NM3943766893,56.72073746,-6.260450363,220.0,1.0,Adult,Scotland,NM39436689,NM394668,NM3966,NM36,NM
13271,Phocoena phocoena,Common Porpoise,2019-11-26,26,11,2019,NM5948576238,56.8152504,-5.942466259,400.0,1.0,Adult,Scotland,NM59487623,NM594762,NM5976,NM57,NM
14169,Delphinus delphis,Common Dolphin,2021-11-05,5,11,2021,NM2450970256,56.74229,-6.507234,150.0,1.0,Adult,Scotland,NM24507025,NM245702,NM2470,NM27,NM
13261,Phocoena phocoena,Common Porpoise,2019-11-25,25,11,2019,NM5149975640,56.80569839,-6.072366237,200.0,1.0,Adult,Scotland,NM51497564,NM514756,NM5175,NM57,NM
13260,Balaenoptera acutorostrata,Minke Whale,2019-11-25,25,11,2019,NM3158679093,56.82556915,-6.401149272,3000.0,1.0,Adult,Scotland,NM31587909,NM315790,NM3179,NM37,NM
14170,Delphinus delphis,Common Dolphin,2021-11-05,5,11,2021,NM2620068670,56.72908,-6.477983,20.0,1.0,Adult,Scotland,NM26206867,NM262686,NM2668,NM26,NM
13275,Phoca vitulina,Harbour Seal,2019-11-26,26,11,2019,NM3977966417,56.71666718,-6.254399776,70.0,1.0,Adult,Scotland,NM39776641,NM397664,NM3966,NM36,NM
14172,Phocoena phocoena,Common Porpoise,2021-11-07,7,11,2021,NM7654430180,56.41082,-5.6238,10.0,1.0,Adult,Scotland,NM76543018,NM765301,NM7630,NM73,NM
14159,Delphinus delphis,Common Dolphin,2021-11-04,4,11,2021,NM4616460231,56.66475,-6.144267,400.0,1.0,Adult,Scotland,NM46166023,NM461602,NM4660,NM46,NM
14160,Balaenoptera acutorostrata,Minke Whale,2021-11-04,4,11,2021,NM4023168801,56.73827,-6.24945,250.0,1.0,Adult,Scotland,NM40236880,NM402688,NM4068,NM46,NM
14167,Phoca vitulina,Harbour Seal,2021-11-05,5,11,2021,NG1679104561,57.04483,-6.67125,20.0,1.0,Adult,Scotland,NG16790456,NG167045,NG1604,NG10,NG
13256,Halichoerus grypus,Grey Seal,2019-11-25,25,11,2019,NM4996958589,56.65208435,-6.080749511,1000.0,1.0,Adult,Scotland,NM49965858,NM499585,NM4958,NM45,NM
14162,Delphinus delphis,Common Dolphin,2021-11-04,4,11,2021,NM3654872900,56.77293,-6.3137,400.0,1.0,Adult,Scotland,NM36547290,NM365729,NM3672,NM37,NM
13274,Balaenoptera acutorostrata,Minke Whale,2019-11-26,26,11,2019,NM3942166780,56.71971893,-6.260599613,600.0,1.0,Adult,Scotland,NM39426678,NM394667,NM3966,NM36,NM
13276,Phoca vitulina,Harbour Seal,2019-11-26,26,11,2019,NM4354661389,56.67369843,-6.188016891,300.0,1.0,Adult,Scotland,NM43546138,NM435613,NM4361,NM46,NM
14161,Delphinus delphis,Common Dolphin,2021-11-04,4,11,2021,NM3950068038,56.73103,-6.2606,200.0,1.0,Adult,Scotland,NM39506803,NM395680,NM3968,NM36,NM
13270,Phocoena phocoena,Common Porpoise,2019-11-26,26,11,2019,NM5970075360,56.80748749,-5.938133716,350.0,1.0,Adult,Scotland,NM59707536,NM597753,NM5975,NM57,NM
13257,Halichoerus grypus,Grey Seal,2019-11-25,25,11,2019,NM4943858901,56.65459824,-6.089683055,250.0,1.0,Adult,Scotland,NM49435890,NM494589,NM4958,NM45,NM
14165,Delphinus delphis,Common Dolphin,2021-11-04,4,11,2021,NG3172504466,57.05291,-6.425767,500.0,1.0,Adult,Scotland,NG31720446,NG317044,NG3104,NG30,NG
13258,Phocoena phocoena,Common Porpoise,2019-11-25,25,11,2019,NM4622560640,56.6684494,-6.143666744,500.0,1.0,Adult,Scotland,NM46226064,NM462606,NM4660,NM46,NM
13268,Phoca vitulina,Harbour Seal,2019-11-26,26,11,2019,NM6106770560,56.76517105,-5.911316871,200.0,1.0,Adult,Scotland,NM61067056,NM610705,NM6170,NM67,NM
13272,Phocoena phocoena,Common Porpoise,2019-11-26,26,11,2019,NM5550690839,56.94401932,-6.021533012,60.0,1.0,Adult,Scotland,NM55509083,NM555908,NM5590,NM59,NM
13264,Phoca vitulina,Harbour Seal,2019-11-25,25,11,2019,NM6014571899,56.77669907,-5.927616596,200.0,1.0,Adult,Scotland,NM60147189,NM601718,NM6071,NM67,NM
13267,Phoca vitulina,Harbour Seal,2019-11-26,26,11,2019,NM6115270266,56.76258087,-5.909649848,20.0,1.0,Adult,Scotland,NM61157026,NM611702,NM6170,NM67,NM
14166,Delphinus delphis,Common Dolphin,2021-11-04,4,11,2021,NG3165305265,57.06002,-6.427801,130.0,1.0,Adult,Scotland,NG31650526,NG316052,NG3105,NG30,NG
